Questions,Answers
How do I add Assert False Validator?," Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Assert False' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I select Assert False Validator ?," Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Assert False' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How to choose assert false Validator?," Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Assert False' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I add Assert True Validator?,"Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Asserttrue' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How do I select assert true Validator?,"Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Asserttrue' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
How can I select assert true Validator?,"Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Asserttrue' from the Select Validator drop down.
 Step 4: Enter your error message 
 Step 5: Select + Icon"
What is Negative under Change Driver Type?,A negative Change Driver is used when you do not want to trigger a CU if the data arrives to it during exeCUtion. If the data doesn't arrive then only CU will be triggered and no error will be shown
What is negative at an Entity level?,A negative Change Driver is used when you do not want to trigger a CU if the data arrives to it during exeCUtion. If the data doesn't arrive then only CU will be triggered and no error will be shown
What is NSL_AadharCardReservedCU?,Aadhar reserved CU is where the user can upload the Aadhar card as an image or a file and the details will be extracted as data.
What is the purpose of an Agent?,"According to the NSLhub platform, Agent is the one who defines who can input and performs the tasks"
What is an Agent?,"According to the NSLhub platform, Agent is the one who defines who can input the values"
Who is an Agent?,"According to the NSLhub platform, Agent is the one who defines who can input the values"
What is the use of an Agent in a solution?,"According to the NSLhub platform, Agent is the one who defines who can input the values"
How can I create a sequential CU?,Adding a sequential Change Unit is same as adding a normal Change Unit. .
How to add sequential CU?,Adding a sequential Change Unit is same as adding a normal Change Unit. .
How to define the CU type?,"After you have given the CU name, Select the CU and you can see the CU types"
How can I choose the CU type?,"After you have given the CU name, Select the CU and you can see the CU types"
How can we create a new solution?,"After you login to the platform, 
 Step 1: Select the + Icon on the Library,
 Step 2: Select Next, 
 Step 3: Give the Solution Name and Select Next"
what is NSL_Template _ Aggregate Function?,"Aggregate Function Reserved CU is a reserved Change Unit which is used to calculate an Aggregate Function like min, max etc., on a number data type column. This can also be applied on a subset of records when membership criteria is applied on Attributes to filter records. ."
Can we develop a solution to prefix the min and max values in the solution?,"Aggregate Function Reserved CU is a reserved Change Unit which is used to calculate an Aggregate Function like min, max etc., on a number data type column. This can also be applied on a subset of records when membership criteria is applied on Attributes to filter records. ."
Is it possible to develop a solution which can calculate average values whenever inputs are provided?,"Aggregate Function Reserved CU is a reserved Change Unit which is used to calculate an Aggregate Function like min, max etc., on a number data type column. This can also be applied on a subset of records when membership criteria is applied on Attributes to filter records. ."
How to choose sequential CU?,All the CUs are connected in Sequence until we define their types.
Where does the solution data stored?,All the solutions and data will be stored on our NSLhub server and cloud
Where do you store all the solution data?,All the solutions and data will be stored on our NSLhub server and cloud
What is alternate under Change Driver type?,"An alternative Change Driver will have a corresponding alternative in case its value doesn't arrive. Another Change Driver’s context id will be given in the Change Driver metadata for the CUrrent Change Driver and both will be considered to be alternative for each other. If either of them arrives during exeCUtion, the CU will be triggered and if none of them arrives an error will be shown"
What is Assert False under select Validators for Boolean UI control?,Assert False Validator enables the field only if the assert value is False
What is Assert True under select Validators for Boolean UI control?,Assert True Validator enables to enter the values if the assert value is True
What is an Attribute?,Attribute in NSL define the characteristics of an Entity and further distinct an Entity from other entities.
What is the use of Attribute?,Attribute in NSL define the characteristics of an Entity and further distinct an Entity from other entities.
What is the purpose of an Attribute?,Attribute in NSL define the characteristics of an Entity and further distinct an Entity from other entities.
Can we insert the audio files into the solution?,Audio UI control allows users to add or upload audio files as an input
Can we provide an option for the users to upload audio files into the solution?,Audio UI control allows users to add or upload audio files as an input
Can an Entity be in the form of an audio?,Audio UI control allows users to add or upload audio files as an input
